1,M1,1800.00,2023-05-30,13:49:30
2,M1,1600.00,2023-05-30,13:56:41
3,M1,1600.00,2023-05-30,14:00:35
4,M1|M2,4000.00,2023-05-30,14:04:43
5,M1,1000.00,2023-05-30,14:05:47
6,M1,1200.00,2023-05-30,14:07:31
7,M2,3000.00,2023-05-31,00:48:41
8,M2,3000.00,2023-05-31,00:54:33
9,M2,3000.00,2023-05-31,00:58:19
10,M1,800.00,2023-05-31,00:59:12
11,M2,3000.00,2023-05-31,01:03:42
12,M2,6000.00,2023-05-31,01:09:27
13,M1,2500.00,2023-05-31,01:10:57
14,M1,2500.00,2023-05-31,01:11:57
15,M1,2500.00,2023-05-31,01:13:04
16,M1,2500.00,2023-05-31,01:13:46
17,M1,2500.00,2023-05-31,01:15:31
18,M1,2500.00,2023-05-31,01:17:42
19,M1,2500.00,2023-05-31,01:21:12
20,M1,2500.00,2023-05-31,02:01:49
21,M1,2500.00,2023-05-31,02:07:24
22,M1,2500.00,2023-05-31,02:22:42
23,H1,1400.00,2023-05-31,02:30:36
24,H1,1400.00,2023-05-31,02:31:23
25,H1,1050.00,2023-05-31,02:31:45
26,H1,700.00,2023-05-31,02:35:23
27,H1,210.00,2023-05-31,02:38:41
28,H1,70.00,2023-05-31,02:39:01
29,H1,5460.00,2023-05-31,02:41:32
30,H1,1120.00,2023-05-31,02:48:36
31,H1,2100.00,2023-05-31,02:48:56
32,M1,2400.00,2023-05-31,02:49:45
33,M1,2500.00,2023-05-31,11:34:22
34,M1,2000.00,2023-05-31,11:38:26
35,M1,300.00,2023-05-31,11:39:18
36,M1,200.00,2023-05-31,11:40:08
37,M1,2400.00,2023-05-31,11:40:53
38,M1,100.00,2023-05-31,12:25:56
